epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,632.908,1.03957,1.57299,1.60184,1.38057,0.67382,0.69643,0.70602,0.36912,0.68902,0.71429,0.73312,0.56335,1.23678,1.00162,3.29886,2.18044,0.00134,0.00134,0.00134
12,687.337,1.06642,1.25807,1.50094,1.40055,0.84918,0.80436,0.90175,0.6301,0.84953,0.8066,0.90602,0.75198,0.99055,0.82239,2.4232,1.77434,0.001274,0.001274,0.001274
13,742.417,0.93292,1.31355,1.33403,1.28717,0.84918,0.80436,0.90175,0.6301,0.84953,0.8066,0.90602,0.75198,0.99055,0.82239,2.4232,1.77434,0.001208,0.001208,0.001208
14,797.681,0.96966,1.261,1.47175,1.35602,0.76283,0.75,0.85631,0.52784,0.73893,0.73214,0.83716,0.62719,1.00622,1.06753,2.11994,1.68686,0.001142,0.001142,0.001142
15,852.146,0.90846,1.22682,1.3902,1.32105,0.76696,0.8228,0.86614,0.57346,0.76696,0.8228,0.86565,0.70371,1.0145,0.89833,1.95326,1.6758,0.001076,0.001076,0.001076
16,906.755,0.82865,1.04714,1.14306,1.23244,0.84852,0.83929,0.89414,0.58807,0.84852,0.83929,0.91087,0.71832,0.92712,0.80262,1.98264,1.64014,0.00101,0.00101,0.00101
17,961.808,0.80911,1.03835,1.25301,1.24327,0.94507,0.94643,0.97009,0.7046,0.94507,0.94643,0.97009,0.83114,0.85814,0.75882,1.80009,1.48972,0.000944,0.000944,0.000944
18,1017.31,0.90113,1.03991,1.27025,1.3039,0.88514,0.91071,0.97359,0.66736,0.88514,0.91071,0.97359,0.82019,1.03862,0.80075,1.69608,1.60209,0.000878,0.000878,0.000878
19,1071.83,0.7242,0.88529,1.05549,1.14558,0.92065,0.91071,0.9727,0.72074,0.92065,0.91071,0.9727,0.83315,0.81671,0.79847,1.59155,1.44467,0.000812,0.000812,0.000812
20,1127.56,0.72085,1.02692,1.07507,1.17382,0.93096,0.96317,0.97714,0.77061,0.93096,0.96317,0.97714,0.85708,0.76677,0.71114,1.44488,1.39699,0.000746,0.000746,0.000746
21,1181.99,0.74984,0.78703,1.75963,1.37786,0.93096,0.96317,0.97714,0.77061,0.93096,0.96317,0.97714,0.85708,0.76677,0.71114,1.44488,1.39699,0.00068,0.00068,0.00068
22,1236.72,0.72191,0.83051,1.54987,1.36404,0.94795,0.92857,0.98793,0.73647,0.91088,1,0.98987,0.87673,0.83604,0.67979,1.43206,1.4313,0.000614,0.000614,0.000614
23,1290.64,0.8587,0.91337,1.64277,1.47375,0.91586,0.97199,0.98898,0.77953,0.91586,0.97199,0.98898,0.86946,0.75898,0.63681,1.48628,1.313,0.000548,0.000548,0.000548
24,1345.88,0.79176,0.75857,1.60063,1.36199,0.94877,0.99227,0.99144,0.8124,0.94877,0.99227,0.99144,0.88763,0.67398,0.61127,1.47166,1.27493,0.000482,0.000482,0.000482
25,1400.79,0.75403,0.76613,1.53661,1.40417,0.96515,1,0.99358,0.83243,0.96515,1,0.99358,0.905,0.65617,0.5993,1.42375,1.26579,0.000416,0.000416,0.000416
26,1455.34,0.68625,0.6819,1.49681,1.31491,0.94903,0.99757,0.99272,0.85354,0.94903,0.99757,0.99272,0.90217,0.64709,0.61176,1.41755,1.22988,0.00035,0.00035,0.00035
27,1510,0.68007,0.74304,1.47305,1.30071,1,0.97712,0.99466,0.86698,1,0.97712,0.99466,0.90452,0.60836,0.60363,1.32066,1.19116,0.000284,0.000284,0.000284
28,1564.42,0.63397,0.66763,1.38335,1.22328,1,0.97755,0.99449,0.83854,1,0.97755,0.99449,0.90731,0.60365,0.57993,1.30446,1.19563,0.000218,0.000218,0.000218
29,1618.54,0.62061,0.76382,1.40733,1.24667,1,0.97755,0.99449,0.83854,1,0.97755,0.99449,0.90731,0.60365,0.57993,1.30446,1.19563,0.000152,0.000152,0.000152
30,1672.61,0.60077,0.67334,1.37639,1.21886,1,0.97534,0.99466,0.84989,1,0.97534,0.99466,0.92025,0.58889,0.56498,1.28198,1.17963,8.6e-05,8.6e-05,8.6e-05
