epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7046,0.61936,1.51532,2.39995,1.17155,0.00333,1,0.83579,0.54727,0.00333,1,0.83579,0.5792,0.71816,1.4523,3.11463,1.4714,0.00054,0.00054,0.00054
2,136.742,0.85785,1.22771,1.99825,1.33195,0.00673,0.98214,0.57382,0.23251,0.00686,1,0.63682,0.42019,1.40836,1.8462,3.27813,2.88434,0.0010637,0.0010637,0.0010637
3,193.475,1.22433,1.55095,2.06459,1.58498,0.69144,0.48214,0.70111,0.33234,0.67204,0.42857,0.58745,0.26402,1.38778,6.07648,3.05193,2.89977,0.00155044,0.00155044,0.00155044
4,247.788,1.21124,2.431,1.98113,1.6576,0.43823,0.625,0.46057,0.239,0.46632,0.63977,0.49139,0.30574,1.58219,3.79433,2.8375,2.8304,0.001802,0.001802,0.001802
5,302.223,1.36921,1.88158,2.02957,1.65588,0.43823,0.625,0.46057,0.239,0.46632,0.63977,0.49139,0.30574,1.58219,3.79433,2.8375,2.8304,0.001736,0.001736,0.001736
6,359.359,1.20576,1.65267,1.91543,1.56471,0.44045,0.625,0.54038,0.2162,0.49074,0.63673,0.57096,0.22332,1.6613,4.9478,3.32578,2.78241,0.00167,0.00167,0.00167
7,413.991,1.03361,1.26539,1.73603,1.44962,0.04422,0.71429,0.04224,0.0184,0.04897,0.57143,0.0472,0.02585,1.66684,1.40184,9.31399,2.54482,0.001604,0.001604,0.001604
8,468.937,1.04142,1.31667,1.75235,1.45655,0.60988,0.69643,0.66636,0.33921,0.66616,0.71267,0.70959,0.51775,1.36231,1.14789,2.66137,2.44703,0.001538,0.001538,0.001538
9,523.654,1.17458,1.8523,1.78022,1.55031,0.27774,0.57143,0.27029,0.12931,0.30684,0.69643,0.30759,0.14365,1.39382,1.95897,2.96628,2.41462,0.001472,0.001472,0.001472
10,578.305,1.11586,1.70036,1.61202,1.56494,0.21267,0.69643,0.2147,0.12182,0.21267,0.69643,0.2147,0.1545,1.19105,1.27388,3.0952,2.21685,0.001406,0.001406,0.001406
